Records ID,Beetle Host,Beetle Host IDs,categories,pathogens,country or region,ecological relationship,experimental conditions,identification method,infection site,organism source,validation type,source,year,full text,title
472,Ips sexdentatus,1728,Nematode,Parasitorhabditis ipsophila,France,parasite,,,,,,"Lieutier, 1984a",1984,full text,"Lieutier, F. (1984). Les perturbations induites par Parasitorhabditis ipsophila (Nematoda: Rhabditidae) dans le tube digestif d’Ips sexdentatus (Insecta: Scolytidae). Annales de parasitologie humaine et comparée, 59(6), 597-605."
473,Ips sexdentatus,1728,Nematode,Parasitorhabditis ipsophila,France,parasite,,,,,,"Lieutier, 1984b",1984,full text,"Lieutier, F. (1984). Observations on the parasitism of Ips sexdentatus (Insecta: Scolytidae) by Parasitorhabditis ipsophila (Nematoda: Rhabditidae). Annales de parasitologie humaine et comparée , 59 (5), 507-520."
487,Ips typographus,1733,Nematode,gut nematodes,Czech Republic,pathogen,,,,evaluation of pathogen from beetles,,"Lukasova et al., 2013",2013,full text,"Lukášová, K., Holuša, J., & Turčáni, M. (2013). Pathogens of Ips amitinus: new species and comparison with I ps typographus. Journal of Applied Entomology, 137(3), 188-196."
493,Ips amitinus,1696,Nematode,gut nematodes,Czech Republic,pathogen,,,,evaluation of pathogen from beetles,,"Lukasova et al., 2013",2013,full text,"Lukášová, K., Holuša, J., & Turčáni, M. (2013). Pathogens of Ips amitinus: new species and comparison with I ps typographus. Journal of Applied Entomology, 137(3), 188-196."
506,Dendroctonus frontalis,479,Nematode,Contortylenchus brevicomi,United States,parasite,,,,evaluation of infection from beetles,,"MacGuidwin et al., 1980",1980,full text,"MacGuidwin, A. E., Smart Jr, G. C., Wilkinson, R. C., & Allen, G. E. (1980). Effect of the nematode Contortylenchus brevicomi on gallery construction and fecundity of the southern pine beetle. Journal of nematology, 12(4), 278."
514,Dendroctonus rufipennis,488,Nematode,Ektaphelenchus obtusus,,parasite,,,,,,"Massey, 1956",1956,only English abstract,"Massey, C. L. (1956). Nematode parasites and associates of the Engelmann spruce beetle (Dendroctonus engelmanni Hopk.)."
515,Dendroctonus rufipennis,488,Nematode,Sphaerularia dendroctoni,,parasite,,,,,,"Massey, 1956",1956,only English abstract,"Massey, C. L. (1956). Nematode parasites and associates of the Engelmann spruce beetle (Dendroctonus engelmanni Hopk.)."
516,Dendroctonus barberi,9676,Nematode,Alphelenchulus barberus,United States,parasite,,,,,,"Massey, 1957",1957,only English abstract,"Massey, C. L. (1957). Four new species of Alphelenchulus (Nematoda) parasitic in bark beetles in the United States."
517,Dendroctonus frontalis,479,Nematode,Alphelenchulus barberus,United States,parasite,,,,,,"Massey, 1957",1957,only English abstract,"Massey, C. L. (1957). Four new species of Alphelenchulus (Nematoda) parasitic in bark beetles in the United States."
518,Dendroctonus brevicomis,478,Nematode,Alphelenchulus brevicomi,United States,parasite,,,,,,"Massey, 1957",1957,only English abstract,"Massey, C. L. (1957). Four new species of Alphelenchulus (Nematoda) parasitic in bark beetles in the United States."
